id	movie_id	movie_name	user_id	ctime	message
9132	7284	Иррациональный человек	51365	2015-09-01 08:14:04.591223+03	Блестящее переосмысление Достоевского. Лиричное и очень забавное. Очень Вуди Алленовское. В середине только фильм как-то проседает, становится скучно, но к финалу всё выправляется.
9131	7063	Миссия невыполнима: Племя изгоев	51365	2015-09-01 08:11:40.041415+03	Миссия - она и есть миссия. Красиво, зрелищно, с трюками. Нелепо, с логическими неувязками, но не хуже остальных. Пришел на миссию - получил миссию.
9130	7066	Агенты А.Н.К.Л.	51365	2015-09-01 08:10:25.623683+03	Отличный фильм! Гармоничная смесь боевика и комедии. Редко бывает лучше.
9123	6967	Оно	28805	2015-08-31 20:21:16.597559+03	Что-то новое и свежее в жанре ужасов. Не идеально, но очень атмосферно 
9122	6870	Астрал 3	28805	2015-08-31 20:19:01.867424+03	Фанатам остальных частей понравится
9121	6695	Ночной беглец	68131	2015-08-31 16:50:50.582051+03	Великолепный фильм!
9119	7063	Миссия невыполнима: Племя изгоев	66751	2015-08-31 13:19:01.912829+03	Достойно снято
9118	7055	Вне/себя	66751	2015-08-31 13:18:42.24863+03	Классный. Рекомендую
9117	7021	Синистер 2	66751	2015-08-31 13:18:12.327782+03	Как и первая часть, все пугалки в стиле резкого Бу. Смотреть можно
9116	7289	Ультраамериканцы	66751	2015-08-31 13:17:15.108825+03	По трейлеру будто треш комедия. В реале мочилово с парой ржачных шуток.
9114	6999	Терминатор: Генезис	62843	2015-08-31 08:18:47.097401+03	Интересный фильм)
9113	7056	Подарок	44216	2015-08-31 02:03:38.822837+03	Фильм довольно не плохой, держит в напряжении на протяжении всего сеанса, не хватило немного закрученности сюжета, а в целом очень хорош!
9111	7066	Агенты А.Н.К.Л.	52286	2015-08-31 00:09:12.872797+03	Классическое противостояние восток-запад. Актуальная тему в сложившейся политической ситуации. В фильме все заканчивается дружбой :-)
9108	7066	Агенты А.Н.К.Л.	15560	2015-08-30 22:57:02.555805+03	Friends will be friends 
9104	7289	Ультраамериканцы	59578	2015-08-30 21:27:01.050949+03	Очень и очень классный фильм!)
